ID	LINE_IN_SOURCE	DOCULECT	CHINESE	CONCEPT	VALUE	SEGMENTS	CHARACTERS
966	988	Dancun	片糖	brick sugar	p'eiN33 hON22	pʰ e i ŋ ³³ + h ɔ ŋ ²²	
3625	3343	Dancun	泥水匠	bricklayer	nai22 \ui55 lO55; nai22 \ui55	n a i ²² + ɕ u i ⁵⁵ + l ɔ ⁵⁵	
3626	3343	Dancun	泥水匠	bricklayer	nai22 \ui55 lO55; nai22 \ui55	n a i ²² + ɕ u i ⁵⁵	
2442	2354	Dancun	新娘	bride	{in33 niEN35	æ i n ³³ + n i ɛ ŋ ³⁵	
1776	1714	Dancun	橋	bridge	k'iEu22 (?u32)	kʰ i ɛ u ²² + ʔ u ³²	（道）
23	22	Dancun	亮	bright	hau32	h a u ³²	
4297	3816	Dancun	鮮顏色	bright color	*{eiN33; {eiN33 meiN22	æ e i ŋ ³³	鮮明
4298	3816	Dancun	鮮顏色	bright color	*{eiN33; {eiN33 meiN22	æ e i ŋ ³³ + m e i ŋ ²²	鮮明
4179	3743	Dancun	脆	brittle, crunchy	t'ui33; t'ui33 t'Ok33 K33	tʰ u i ³³	
4180	3743	Dancun	脆	brittle, crunchy	t'ui33; t'ui33 t'Ok33 K33	tʰ u i ³³ + tʰ ɔ k ³³ + ɬ ³³	
4228	3772	Dancun	寬	broad, wide	fOt33; *fuot33; fOt33 la21 p'a21 K33	f ɔ t ³³	闊
4229	3772	Dancun	寬	broad, wide	fOt33; *fuot33; fOt33 la21 p'a21 K33	f u o t ³³	闊
4230	3772	Dancun	寬	broad, wide	fOt33; *fuot33; fOt33 la21 p'a21 K33	f ɔ t ³³ + l a ²¹ + pʰ a ²¹ + ɬ ³³	闊
1175	1185	Dancun	花緞	brocade	t\eik33 kim55; lui21 ?On32	ʨ e i k ³³ + k i m ⁵⁵	織錦， ? 緞
1176	1185	Dancun	花緞	brocade	t\eik33 kim55; lui21 ?On32	l u i ²¹ + ʔ ɔ n ³²	織錦， ? 緞
654	693	Dancun	芥蘭	broccoli	kai33 lan35	k a i ³³ + l a n ³⁵	
4396	3882	Dancun	缺口（瓶子）	broken	paN55 hau55	p a ŋ ⁵⁵ + h a u ⁵⁵	崩口
4508	3973	Dancun	碎	broken into pieces	{ui33; lan32	æ u i ³³	爛
4509	3973	Dancun	碎	broken into pieces	{ui33; lan32	l a n ³²	爛
1367	1346	Dancun	別針	brooch	{im33 hau55 t\im35	æ i m ³³ + h a u ⁵⁵ + ʨ i m ³⁵	心口針
1519	1496	Dancun	掃帚	broom	{O33 pa55; {O33 kOn55 (jiE22 ji21 {O35)	æ ɔ ³³ + p a ⁵⁵	掃把；掃稈（椰衣掃）
1520	1496	Dancun	掃帚	broom	{O33 pa55; {O33 kOn55 (jiE22 ji21 {O35)	æ ɔ ³³ + k ɔ n ⁵⁵ + j i ɛ ²² + j i ²¹ + æ ɔ ³⁵	掃把；掃稈（椰衣掃）
853	877	Dancun	羹（濃湯）	broth	kaN33 \ui55	k a ŋ ³³ + ɕ u i ⁵⁵	
3917	3563	Dancun	妓寨	brothel	lO55 kui55 tSai32	l ɔ ⁵⁵ + k u i ⁵⁵ + ʧ a i ³²	
3478	3212	Dancun	姪女	brother's daughter	t\it32 nui55	ʨ i t ³² + n u i ⁵⁵	
3477	3211	Dancun	姪兒	brother's son	tSit35	ʧ i t ³⁵	
3439	3178	Dancun	兄弟	brothers	heiN33 ?ai32	h e i ŋ ³³ + ʔ a i ³²	
4310	3827	Dancun	褐色	brown	ka33 fE55 \eik55	k a ³³ + f ɛ ⁵⁵ + ɕ e i k ⁵⁵	咖啡色
969	991	Dancun	麵豉	brown salted beans	meiN21 \i35	m e i ŋ ²¹ + ɕ i ³⁵	
962	985	Dancun	黃糖	brown sugar	vON22 hON22	v ɔ ŋ ²² + h ɔ ŋ ²²	
2186	2105	Dancun	筆帽	brush cap	pit55 t'ap21	p i t ⁵⁵ + tʰ a p ²¹	
4648	4064	Dancun	不客氣	brusque	lak32 ?ak32	l a k ³² + ʔ a k ³²	勒特
515	536	Dancun	花苞	bud	lui21	l u i ²¹	蕊
2325	2253	Dancun	佛	buddha	fut32	f u t ³²	
286	305	Dancun	水牛	buffalo	\ui55 Nau22; \ui55 Nau35	ɕ u i ⁵⁵ + ŋ a u ²²	
287	305	Dancun	水牛	buffalo	\ui55 Nau22; \ui55 Nau35	ɕ u i ⁵⁵ + ŋ a u ³⁵	
3314	3079	Dancun	子彈	bullet	tu55 ?an35; *ma21 tu55	t u ⁵⁵ + ʔ a n ³⁵	碼子
3315	3079	Dancun	子彈	bullet	tu55 ?an35; *ma21 tu55	m a ²¹ + t u ⁵⁵	碼子
821	841	Dancun	豐收	bumper harvest	hO55 vO22; hO55 \i22 neiN22	h ɔ ⁵⁵ + v ɔ ²²	好禾，好時年
822	841	Dancun	豐收	bumper harvest	hO55 vO22; hO55 \i22 neiN22	h ɔ ⁵⁵ + ɕ i ²² + n e i ŋ ²²	好禾，好時年
2022	1954	Dancun	包袱	bundle wrapped in cloth	pau33 fKuk32; fKuk32 p'i22	p a u ³³ + f ɬ u k ³²	袱皮（母親帶至女兒家時用）
2023	1954	Dancun	包袱	bundle wrapped in cloth	pau33 fKuk32; fKuk32 p'i22	f ɬ u k ³² + pʰ i ²²	袱皮（母親帶至女兒家時用）
1355	1335	Dancun	包袱	burdle	fKuk32 p'i22	f ɬ u k ³² + pʰ i ²²	袱皮
837	859	Dancun	鍋巴	burnt rice that adheres to sides of pot	nKuN21	n ɬ u ŋ ²¹	
4461	3934	Dancun	熱鬧	bustling	(?u33 Nin35) kO33 heiN33	ʔ u ³³ + ŋ i n ³⁵ + k ɔ ³³ + h e i ŋ ³³	（多人）高興
4151	3725	Dancun	忙	busy	mak33 k'an22	m a k ³³ + kʰ a n ²²	唔得閒
5207	4562	Dancun	但是，可是	but	?aN32 hai32 mON32 k'ui33	ʔ a ŋ ³² + h a i ³² + m ɔ ŋ ³² + kʰ u i ³³	但係望佢
3616	3336	Dancun	屠夫	butcher	hON33 t\i33 lO55	h ɔ ŋ ³³ + ʨ i ³³ + l ɔ ⁵⁵	豬佬
354	360	Dancun	蝴蝶	butterfly	paN33 \a35	p a ŋ ³³ + ɕ a ³⁵	崩沙
2722	2602	Dancun	屁股	buttocks	\i55 hun22	ɕ i ⁵⁵ + h u n ²²	屎臀
1306	1291	Dancun	鈕釦	button	niu55	n i u ⁵⁵	
1308	1293	Dancun	鈕耳	buttonhole	niu55 (Nan55) mOn22; ({u55 niu55 mOn22)	n i u ⁵⁵ + ŋ a n ⁵⁵ + m ɔ n ²²	紐（眼）門；     （鎖紐門）
1309	1293	Dancun	鈕耳	buttonhole	niu55 (Nan55) mOn22; ({u55 niu55 mOn22)	æ u ⁵⁵ + n i u ⁵⁵ + m ɔ n ²²	紐（眼）門；     （鎖紐門）
1778	1716	Dancun	橋墩	buttress of a bridge	k'iEu22 ?un55	kʰ i ɛ u ²² + ʔ u n ⁵⁵	
5187	4544	Dancun	論（論斤賣）	by (e.g. it is sold by the catty)	lun32; ?On33 kin35 mai32	l u n ³²	斷斤賣
5188	4544	Dancun	論（論斤賣）	by (e.g. it is sold by the catty)	lun32; ?On33 kin35 mai32	ʔ ɔ n ³³ + k i n ³⁵ + m a i ³²	斷斤賣
5141	4508	Dancun	硬（做）	by force	kap33 NaN35	k a p ³³ + ŋ a ŋ ³⁵	夾硬
643	683	Dancun	卷心菜	cabbage	jiE22 t'Oi33	j i ɛ ²² + tʰ ɔ i ³³	
608	643	Dancun	菖蒲	calamus sweet flag reed	t'ON33 p'u22	tʰ ɔ ŋ ³³ + pʰ u ²²	
4791	4190	Dancun	日曆	calendar	Nut32 fun32 p'ai22	ŋ u t ³² + f u n ³² + pʰ a i ²²	月份牌
291	308	Dancun	牛犢子	calf	Nau22 tOi55	ŋ a u ²² + t ɔ i ⁵⁵	牛仔
2749	2633	Dancun	腿肚子	calf of the leg	kiEk33 pi55 nON21/ nON22 ?u55	k i ɛ k ³³ + p i ⁵⁵ + n ɔ ŋ ²¹¯ + n ɔ ŋ ²² + ʔ u ⁵⁵	腳髀囊；囊肚
2575	2461	Dancun	繭	callous	?im21	ʔ i m ²¹	
4662	4074	Dancun	鎮定	calm	?am32 ?eiN32; *?am32 teiN32	ʔ a m ³² + ʔ e i ŋ ³²	淡定
4663	4074	Dancun	鎮定	calm	?am32 ?eiN32; *?am32 teiN32	ʔ a m ³² + t e i ŋ ³²	淡定
588	608	Dancun	茶花	camellia	t\'a22 fa33	ʨʰ a ²² + f a ³³	
2286	2218	Dancun	照像機	camera	jeiN55 {iEN33 ki33	j e i ŋ ⁵⁵ + æ i ɛ ŋ ³³ + k i ³³	映相機
571	589	Dancun	樟腦	camphor	t\iEN33 nO21	ʨ i ɛ ŋ ³³ + n ɔ ²¹	
570	588	Dancun	樟木	camphor tree	t\iEN33 mKuk32	ʨ i ɛ ŋ ³³ + m ɬ u k ³²	
4033	3646	Dancun	忍心	can tolerate	*t'u33 {im33; lON22 {im35; Nin21 {im35	tʰ u ³³ + æ i m ³³	粗心；狼心；忍心
4034	3646	Dancun	忍心	can tolerate	*t'u33 {im33; lON22 {im35; Nin21 {im35	l ɔ ŋ ²² + æ i m ³⁵	粗心；狼心；忍心
4035	3646	Dancun	忍心	can tolerate	*t'u33 {im33; lON22 {im35; Nin21 {im35	ŋ i n ²¹ + æ i m ³⁵	粗心；狼心；忍心
1974	1915	Dancun	聽得懂	can understand (a language)	hiEu55	h i ɛ u ⁵⁵	曉
4036	3647	Dancun	捨不得	can't bear to part with	m22 sOi55 ?ak33	m ²² + s ɔ i ⁵⁵ + ʔ a k ³³	唔使得
1608	1565	Dancun	蠟燭	candle	jiEN22 t\Kuk55; lap32 tSKuk55	j i ɛ ŋ ²² + ʨ ɬ u k ⁵⁵	洋燭
1609	1565	Dancun	蠟燭	candle	jiEN22 t\Kuk55; lap32 tSKuk55	l a p ³² + ʧ ɬ u k ⁵⁵	洋燭
373	379	Dancun	蛾	candle moth	p'Ok55 ?aN33 NO22	pʰ ɔ k ⁵⁵ + ʔ a ŋ ³³ + ŋ ɔ ²²	撲燈螝
942	961	Dancun	糖	candy	hON35; ma22 hON35	h ɔ ŋ ³⁵	
943	961	Dancun	糖	candy	hON35; ma22 hON35	m a ²² + h ɔ ŋ ³⁵	
3903	3552	Dancun	枷	cangue	*lOi33 ka33	l ɔ i ³³ + k a ³³	
2652	2534	Dancun	犬牙	canine teeth	tiEm33 Na35	t i ɛ m ³³ + ŋ a ³⁵	尖牙
3313	3078	Dancun	砲	cannon	p'au33 (ham22)	pʰ a u ³³ + h a m ²²	
5167	4530	Dancun	（我看不見）	cannot (e.g. I cannot see)	hai55 m22 keiN33; m22 hai55 ?ak33 keiN33	h a i ⁵⁵ + m ²² + k e i ŋ ³³	睇唔見；唔睇得見
5168	4530	Dancun	（我看不見）	cannot (e.g. I cannot see)	hai55 m22 keiN33; m22 hai55 ?ak33 keiN33	m ²² + h a i ⁵⁵ + ʔ a k ³³ + k e i ŋ ³³	睇唔見；唔睇得見
5169	4531	Dancun	（他進不去）	cannot (with directional verb) (e.g. he cannot enter)	m22 jip32 ?ak33 hui33	m ²² + j i p ³² + ʔ a k ³³ + h u i ³³	唔入得去
1975	1916	Dancun	聽不懂	cannot understand (a language)	m22 hiEu55 k'ui33 kON55	m ²² + h i ɛ u ⁵⁵ + kʰ u i ³³ + k ɔ ŋ ⁵⁵	唔曉佢講
767	793	Dancun	香瓜	cantaloup	hiEN33 ka33	h i ɛ ŋ ³³ + k a ³³	
4569	4016	Dancun	能幹	capable	pun55 {u32; *puOn55 {u32	p u n ⁵⁵ + æ u ³²	本事
4570	4016	Dancun	能幹	capable	pun55 {u32; *puOn55 {u32	p u ɔ n ⁵⁵ + æ u ³²	本事
1817	1753	Dancun	本錢	capital	pOn55 t'eiN22	p ɔ n ⁵⁵ + tʰ e i ŋ ²²	
313	328	Dancun	閹雞	capon	jiEm33 kai33	j i ɛ m ³³ + k a i ³³	
3344	3096	Dancun	俘虜	captive	fu33 lu21; *lai35 nai55 peiN33; lai35 k'ui33 lO55	f u ³³ + l u ²¹	拉 ? 兵；拉 ? 佢咯
3345	3096	Dancun	俘虜	captive	fu33 lu21; *lai35 nai55 peiN33; lai35 k'ui33 lO55	l a i ³⁵ + n a i ⁵⁵ + p e i ŋ ³³	拉 ? 兵；拉 ? 佢咯
3346	3096	Dancun	俘虜	captive	fu33 lu21; *lai35 nai55 peiN33; lai35 k'ui33 lO55	l a i ³⁵ + kʰ u i ³³ + l ɔ ⁵⁵	拉 ? 兵；拉 ? 佢咯
2045	1979	Dancun	車子	car	t\'iE33	ʨʰ i ɛ ³³	
2244	2172	Dancun	紙牌	cards	t\i55 p'ai35	ʨ i ⁵⁵ + pʰ a i ³⁵	
4627	4049	Dancun	細心	careful	{ui33 {u55; *{iEu55 {im35	æ u i ³³ + æ u ⁵⁵	碎鎖；小心
4628	4049	Dancun	細心	careful	{ui33 {u55; *{iEu55 {im35	æ i ɛ u ⁵⁵ + æ i m ³⁵	碎鎖；小心
4629	4050	Dancun	粗心，大意	careless, heedless	?ai32 \a55 ?ai32 la55; ?ai32 \a55 ?ai32 ja55	ʔ a i ³² + ɕ a ⁵⁵ + ʔ a i ³² + l a ⁵⁵	大耍大 ?
4630	4050	Dancun	粗心，大意	careless, heedless	?ai32 \a55 ?ai32 la55; ?ai32 \a55 ?ai32 ja55	ʔ a i ³² + ɕ a ⁵⁵ + ʔ a i ³² + j a ⁵⁵	大耍大 ?
412	419	Dancun	鯉魚	carp	li21 Nui22	l i ²¹ + ŋ u i ²²	
3627	3344	Dancun	木匠	carpenter	mKuk32 kKuN35	m ɬ u k ³² + k ɬ u ŋ ³⁵	木工
1961	1899	Dancun	曲尺	carpenter's square	k'Kuk55 tS'iEk21	kʰ ɬ u k ⁵⁵ + ʧʰ i ɛ k ²¹	
669	706	Dancun	胡蘿蔔	carrot	hKuN22 lu22 pak32	h ɬ u ŋ ²² + l u ²² + p a k ³²	
1692	1639	Dancun	扁擔	carrying pole	?am33 kOn21	ʔ a m ³³ + k ɔ n ²¹	竿
1693	1640	Dancun	籤擔	carrying pole with sharp ends	vO22 t'Kuk55/ t'iEN35	v ɔ ²² + tʰ ɬ u k ⁵⁵¯ + tʰ i ɛ ŋ ³⁵	禾籤（禾用）
3893	3547	Dancun	案子	case	?On33; *{u32 (keiN32)	ʔ ɔ n ³³	事（件）
3894	3547	Dancun	案子	case	?On33; *{u32 (keiN32)	æ u ³² + k e i ŋ ³²	事（件）
582	603	Dancun	桂花	cassia	ki33 fa33	k i ³³ + f a ³³	
5040	4426	Dancun	偶然	casually, by chance	hO55 kiu55 kON51 K33 keiN33 jit55 vOi22	h ɔ ⁵⁵ + k i u ⁵⁵ + k ɔ ŋ ⁵¹ + ɬ ³³ + k e i ŋ ³³ + j i t ⁵⁵ + v ɔ i ²²	好久 ?  ? 見一回
310	325	Dancun	貓	cat	miu55	m i u ⁵⁵	
1395	1373	Dancun	牛圈	cattle pen	Nau22 lan22	ŋ a u ²² + l a n ²²	牛欄
3615	3334	Dancun	放牛的	cattle tender	hai55 Nau22 tOi55	h a i ⁵⁵ + ŋ a u ²² + t ɔ i ⁵⁵	睇牛仔
1955	1893	Dancun	斤	catty	kin33	k i n ³³	
644	684	Dancun	花椰菜	cauliflower	jiE22 t'Oi33 fa33	j i ɛ ²² + tʰ ɔ i ³³ + f a ³³	椰菜花
98	108	Dancun	山洞	cave	\an33 Nam22	ɕ a n ³³ + ŋ a m ²²	山巖
698	731	Dancun	芹菜	celery	hOn33 k'in35; hiEN33 k'in35	h ɔ n ³³ + kʰ i n ³⁵	漢芹，香芹
699	731	Dancun	芹菜	celery	hOn33 k'in35; hiEN33 k'in35	h i ɛ ŋ ³³ + kʰ i n ³⁵	漢芹，香芹
1498	1477	Dancun	水泥	cement	hKuN22 mO22 nai22	h ɬ u ŋ ²² + m ɔ ²² + n a i ²²	紅毛泥
517	538	Dancun	花心	center of a flower	fa33 {im21	f a ³³ + æ i m ²¹	
379	385	Dancun	蜈蚣	centipede	pak32 {Kuk55	p a k ³² + æ ɬ u k ⁵⁵	百足
4812	4211	Dancun	中心	central	(t'un21) tSKuN33 kan35	tʰ u n ²¹ + ʧ ɬ u ŋ ³³ + k a n ³⁵	（村）中間
5093	4470	Dancun	一定	certainly	kaN55;  (kaN55 jiEu33 hui33)	k a ŋ ⁵⁵	耿；（耿要去）
5094	4470	Dancun	一定	certainly	kaN55;  (kaN55 jiEu33 hui33)	k a ŋ ⁵⁵ + j i ɛ u ³³ + h u i ³³	耿；（耿要去）
2123	2055	Dancun	文憑	certificate	mun22 p'aN22	m u n ²² + pʰ a ŋ ²²	
1555	1524	Dancun	椅子	chair	ji55	j i ⁵⁵	
1558	1526	Dancun	椅墊子	chair cushion	?aN21 teiN35	ʔ a ŋ ²¹ + t e i ŋ ³⁵	凳墊（用草織）
2196	2112	Dancun	粉筆	chalk	fun55 pit55; \iEk21 pit55	f u n ⁵⁵ + p i t ⁵⁵	石筆
2197	2112	Dancun	粉筆	chalk	fun55 pit55; \iEk21 pit55	ɕ i ɛ k ²¹ + p i t ⁵⁵	石筆
4921	4321	Dancun	冠軍	champion	(tau55) ?ai32 jit55; kOn33 kun33	t a u ⁵⁵ + ʔ a i ³² + j i t ⁵⁵	（走）第一
4922	4321	Dancun	冠軍	champion	(tau55) ?ai32 jit55; kOn33 kun33	k ɔ n ³³ + k u n ³³	（走）第一
4512	3976	Dancun	性格	character	{eiN33 kak55	æ e i ŋ ³³ + k a k ⁵⁵	
1020	1043	Dancun	木炭	charcoal	han33; keiN33 han33	h a n ³³	京炭
1021	1043	Dancun	木炭	charcoal	han33; keiN33 han33	k e i ŋ ³³ + h a n ³³	京炭
2274	2206	Dancun	車	chariot in chess	kui33	k u i ³³	
2336	2266	Dancun	符	charm	fu22	f u ²²	
4650	4066	Dancun	囉唆	chattering, annoying	*kON55 fan33 kON55 hui33; lau22 tau32; lO22 lO22 tO32 tO32	k ɔ ŋ ⁵⁵ + f a n ³³ + k ɔ ŋ ⁵⁵ + h u i ³³	講番講去；嘮叨
4651	4066	Dancun	囉唆	chattering, annoying	*kON55 fan33 kON55 hui33; lau22 tau32; lO22 lO22 tO32 tO32	l a u ²² + t a u ³²	講番講去；嘮叨
4652	4066	Dancun	囉唆	chattering, annoying	*kON55 fan33 kON55 hui33; lau22 tau32; lO22 lO22 tO32 tO32	l ɔ ²² + l ɔ ²² + t ɔ ³² + t ɔ ³²	講番講去；嘮叨
4447	3924	Dancun	便宜	cheap	p'iEN22	pʰ i ɛ ŋ ²²	平
2656	2538	Dancun	腮	cheek	meiN32 hON21 tui55	m e i ŋ ³² + h ɔ ŋ ²¹ + t u i ⁵⁵	面堂嘴
2657	2539	Dancun	顴骨	cheekbone	liEN55 k'un22	l i ɛ ŋ ⁵⁵ + kʰ u n ²²	兩顴
2270	2202	Dancun	棋	chess	k'i35	kʰ i ³⁵	
2271	2203	Dancun	棋子	chess piece	k'i22 tu55	kʰ i ²² + t u ⁵⁵	
2275	2207	Dancun	棋盤	chessboard	k'i22 p'On35	kʰ i ²² + pʰ ɔ n ³⁵	
2703	2583	Dancun	胸膛	chest	hKuN33 hau55	h ɬ u ŋ ³³ + h a u ⁵⁵	胸口
740	765	Dancun	栗子	chestnut	fKuN33 lut35; lut32 tu55	f ɬ u ŋ ³³ + l u t ³⁵	風栗
741	765	Dancun	栗子	chestnut	fKuN33 lut35; lut32 tu55	l u t ³² + t u ⁵⁵	風栗
321	335	Dancun	小雞兒	chick	kai33 tOi55	k a i ³³ + t ɔ i ⁵⁵	～仔
3248	3028	Dancun	凍瘡	chilblain	\aN33 liu22 pak32 tOi55	ɕ a ŋ ³³ + l i u ²² + p a k ³² + t ɔ i ⁵⁵	生蘿蔔仔
3504	3238	Dancun	小孩兒	child	{am33 min55 tOi55	æ a m ³³ + m i n ⁵⁵ + t ɔ i ⁵⁵	細民仔
3530	3260	Dancun	前人子	child of husband's former marriage	hau22 {eiN33 nai55 tOi55/ nui55	h a u ²² + æ e i ŋ ³³ + n a i ⁵⁵ + t ɔ i ⁵⁵¯ + n u i ⁵⁵	頭先 ? 仔／女
3531	3261	Dancun	油瓶子	child of woman's former marriage	jiu22 p'iEN21 tOi55/ nui55	j i u ²² + pʰ i ɛ ŋ ²¹ + t ɔ i ⁵⁵¯ + n u i ⁵⁵	
4645	4062	Dancun	孩子氣	childish	*ku55 lau55 k'eik35; ku55 leiN51 (lau55 + ?eiN33) k'iE35	k u ⁵⁵ + l a u ⁵⁵ + kʰ e i k ³⁵	古老結；古老 ? 茄
4646	4062	Dancun	孩子氣	childish	*ku55 lau55 k'eik35; ku55 leiN51 (lau55 + ?eiN33) k'iE35	k u ⁵⁵ + l e i ŋ ⁵¹ + l a u ⁵⁵ + + + ʔ e i ŋ ³³ + kʰ i ɛ ³⁵	古老結；古老 ? 茄
1474	1449	Dancun	煙囪	chimney	jiEn33 hKuN35	j i ɛ n ³³ + h ɬ u ŋ ³⁵	
2663	2544	Dancun	下巴	chin	ha32 p'a22; ha32 Nam21; ham22 Nam21	h a ³² + pʰ a ²²	下頷；含頷
2664	2544	Dancun	下巴	chin	ha32 p'a22; ha32 Nam21; ham22 Nam21	h a ³² + ŋ a m ²¹	下頷；含頷
2665	2544	Dancun	下巴	chin	ha32 p'a22; ha32 Nam21; ham22 Nam21	h a m ²² + ŋ a m ²¹	下頷；含頷
1670	1620	Dancun	鑿子	chisel	t'Ok21 (kOi33)	tʰ ɔ k ²¹ + k ɔ i ³³	
1012	1036	Dancun	菜刀	chopper	t'Oi33 ?O33	tʰ ɔ i ³³ + ʔ ɔ ³³	
1119	1133	Dancun	筷子	chopsticks	fai35 (sON33); fai33 tu55 (sON33)	f a i ³⁵ + s ɔ ŋ ³³	
1120	1133	Dancun	筷子	chopsticks	fai35 (sON33); fai33 tu55 (sON33)	f a i ³³ + t u ⁵⁵ + s ɔ ŋ ³³	
343	350	Dancun	蠶蛹	chrysalis	t'am21 NKuN55	tʰ a m ²¹ + ŋ ɬ u ŋ ⁵⁵	
587	607	Dancun	菊花	chrysanthemum	kKuk55 fa33	k ɬ u k ⁵⁵ + f a ³³	
356	363	Dancun	蟬	cicada	tS'iEn35	ʧʰ i ɛ n ³⁵	
991	1015	Dancun	紙煙	cigarette	jiEn33 tOi55; \Kuk32 jiEn33	j i ɛ n ³³ + t ɔ i ⁵⁵	煙仔；熟煙
992	1015	Dancun	紙煙	cigarette	jiEn33 tOi55; \Kuk32 jiEn33	ɕ ɬ u k ³² + j i ɛ n ³³	煙仔；熟煙
154	168	Dancun	硃砂	cinnabar	t\i33 \a33	ʨ i ³³ + ɕ a ³³	
981	1005	Dancun	肉桂	cinnamon	NKuk32 ki33	ŋ ɬ u k ³² + k i ³³	
572	594	Dancun	肉桂樹	cinnamon cassia	NKuk32 ki33 \i32	ŋ ɬ u k ³² + k i ³³ + ɕ i ³²	
4248	3783	Dancun	圓圈	circle	jOn22 hun35	j ɔ n ²² + h u n ³⁵	
2699	2579	Dancun	圓形指紋	circular finger lines	lu22	l u ²²	籮
1755	1696	Dancun	城門	city gate	SiEN22 mOn22	ʃ i ɛ ŋ ²² + m ɔ n ²²	
1758	1699	Dancun	城隍廟	city temple	SeiN22 vON22 miEu35	ʃ e i ŋ ²² + v ɔ ŋ ²² + m i ɛ u ³⁵	
1754	1695	Dancun	城牆	city wall	SiEN22 ki21	ʃ i ɛ ŋ ²² + k i ²¹	城基
4667	4077	Dancun	煞有介事	clamorous	*pa55 pi33	p a ⁵⁵ + p i ³³	
2104	2042	Dancun	教室	classroom	fO33 hON22; *kON55 hON22	f ɔ ³³ + h ɔ ŋ ²²	課堂；講堂
2105	2042	Dancun	教室	classroom	fO33 hON22; *kON55 hON22	k ɔ ŋ ⁵⁵ + h ɔ ŋ ²²	課堂；講堂
211	227	Dancun	爪子	claw	t\au55	ʨ a u ⁵⁵	
4450	3926	Dancun	乾淨	clean	kOn33 tiEN32; k'eiN22 \eiN22 kOn33 tiEN32	k ɔ n ³³ + t i ɛ ŋ ³²	虔誠乾淨
4451	3926	Dancun	乾淨	clean	kOn33 tiEN32; k'eiN22 \eiN22 kOn33 tiEN32	kʰ e i ŋ ²² + ɕ e i ŋ ²² + k ɔ n ³³ + t i ɛ ŋ ³²	虔誠乾淨
4680	4087	Dancun	乾淨利落	clean and tidy	k'eiN22 \eiN22	kʰ e i ŋ ²² + ɕ e i ŋ ²²	虔誠
4271	3798	Dancun	清楚	clear	jiEn32	j i ɛ n ³²	現
4562	4011	Dancun	聰明	clever, smart	t'am55; *t'ouN33 meiN22; liEk55	tʰ a m ⁵⁵	慘
4563	4011	Dancun	聰明	clever, smart	t'am55; *t'ouN33 meiN22; liEk55	tʰ o u ŋ ³³ + m e i ŋ ²²	慘
4564	4011	Dancun	聰明	clever, smart	t'am55; *t'ouN33 meiN22; liEk55	l i ɛ k ⁵⁵	慘
65	72	Dancun	水土	climate	\ui55  hu55	ɕ u i ⁵⁵ + h u ⁵⁵	
2212	2128	Dancun	夾子	clip	kap35; (kap32 tSi55)	k a p ³⁵	（夾紙）
2213	2128	Dancun	夾子	clip	kap35; (kap32 tSi55)	k a p ³² + ʧ i ⁵⁵	（夾紙）
1370	1349	Dancun	鐘	clock	tu32 piEu35	t u ³² + p i ɛ u ³⁵	座錶
3392	3129	Dancun	親	close (in relationship)	t'in33	tʰ i n ³³	
3390	3127	Dancun	近親	close relatives	kin32 t'in33	k i n ³² + tʰ i n ³³	
1570	1537	Dancun	櫥子	closet	kwi32; sam21 ki32; ?ai32 ki32; m55 hKuN55 ki32	k ʋ i ³²	櫃，衫櫃，大櫃，五桶櫃
1571	1537	Dancun	櫥子	closet	kwi32; sam21 ki32; ?ai32 ki32; m55 hKuN55 ki32	s a m ²¹ + k i ³²	櫃，衫櫃，大櫃，五桶櫃
1572	1537	Dancun	櫥子	closet	kwi32; sam21 ki32; ?ai32 ki32; m55 hKuN55 ki32	ʔ a i ³² + k i ³²	櫃，衫櫃，大櫃，五桶櫃
1573	1537	Dancun	櫥子	closet	kwi32; sam21 ki32; ?ai32 ki32; m55 hKuN55 ki32	m ⁵⁵ + h ɬ u ŋ ⁵⁵ + k i ³²	櫃，衫櫃，大櫃，五桶櫃
1159	1172	Dancun	布	cloth	pu33	p u ³³	
1260	1250	Dancun	衣服	clothes	\am21 (hOt33)	ɕ a m ²¹ + h ɔ t ³³	衫（脫）
1253	1243	Dancun	熨斗	clothes iron	hON33 ?au55	h ɔ ŋ ³³ + ʔ a u ⁵⁵	燙斗
46	47	Dancun	雲彩	cloud	vun22; fau22 vun22	v u n ²²	浮雲
47	47	Dancun	雲彩	cloud	vun22; fau22 vun22	f a u ²² + v u n ²²	浮雲
62	69	Dancun	陰天	cloudy day	heiN33 jim33	h e i ŋ ³³ + j i m ³³	天陰
3651	3374	Dancun	丑角	clown	vON22 p'u22 na55	v ɔ ŋ ²² + pʰ u ²² + n a ⁵⁵	? 婆
4678	4085	Dancun	笨手笨腳	clumsy	lun32 lun32 t\un32 t\un32	l u n ³² + l u n ³² + ʨ u n ³² + ʨ u n ³²	
4290	3811	Dancun	臃腫	clumsy and bulky, bulging	*lKuN22 \KuN22; lKuN33 tSKuN55	l ɬ u ŋ ²² + ɕ ɬ u ŋ ²²	龍崇； ? 腫
4291	3811	Dancun	臃腫	clumsy and bulky, bulging	*lKuN22 \KuN22; lKuN33 tSKuN55	l ɬ u ŋ ³³ + ʧ ɬ u ŋ ⁵⁵	龍崇； ? 腫
148	163	Dancun	煤	coal	mOi22	m ɔ i ²²	
4361	3860	Dancun	粗	coarse	t'u33; t'u33 p'i55	tʰ u ³³	
