TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
彀 	彀 	gòu 	kuwH 	k- 	-uw 	departing 	*kˁok-s {*[k]ˁ(r)ok-s} 	draw a bow to the full
句 	句 	gòu 	kuwH 	k- 	-uw 	departing 	*kˁok-s {*[k]ˁ(r)ok-s} 	curved
訽 	訽 	gòu 	xuwH 	x- 	-uw 	departing 	*qʰˁoʔ-s {*qʰˁ(r)o-s} 	revile, insult
呱 	呱 	gū 	ku 	k- 	-u 	even 	*kʷˁa 	wail
孤 	孤 	gū 	ku 	k- 	-u 	even 	*kʷˁa 	orphan
罛 	罛 	gū 	ku 	k- 	-u 	even 	*kʷˁa 	net
姑 	姑 	gū 	ku 	k- 	-u 	even 	*kˁa 	father's sister
菇 	菇 	gū 	ku 	k- 	-u 	even 	*mə.kˁa 	mushroom
賈 	贾 	gǔ 	kuX 	k- 	-u 	rising 	*C.qˁaʔ 	merchant; do business
羖 	羖 	gǔ 	kuX 	k- 	-u 	rising 	*Cə.kʷˁaʔ 	ram
股 	股 	gǔ 	kuX 	k- 	-u 	rising 	*kʷˁaʔ 	thigh
古 	古 	gǔ 	kuX 	k- 	-u 	rising 	*kˁaʔ 	ancient
瞽 	瞽 	gǔ 	kuX 	k- 	-u 	rising 	*kˁaʔ {*[k]ˁaʔ} 	blind
蠱 	蛊 	gǔ 	kuX 	k- 	-u 	rising 	*kˁaʔ {*[k]ˁaʔ} 	noxious vermin
鼔 	鼔 	gǔ 	kuX 	k- 	-u 	rising 	*kˁaʔ {*[k]ˁaʔ} 	drum (v.)
鼓 	鼓 	gǔ 	kuX 	k- 	-u 	rising 	*kˁaʔ {*[k]ˁaʔ} 	drum (n.)
谷 	谷 	gǔ 	kuwk 	k- 	-uwk 	entering 	*C.qˁok 	valley
轂 	毂 	gǔ 	kuwk 	k- 	-uwk 	entering 	*kˁok {*[k]ˁok} 	nave of a wheel
汩 	汩 	gǔ 	kwot 	k- 	-wot 	entering 	*kˁut {*[k]ˁut} 	regulate (rivers)
骨 	骨 	gǔ 	kwot 	k- 	-wot 	entering 	*kˁut 	bone
雇 	雇 	gù 	kuH 	k- 	-u 	departing 	*C.qʷˁa-s {*[C.q]ʷˁa(ʔ)-s} 	to hire
錮 	锢 	gù 	kuH 	k- 	-u 	departing 	*C.qˁaʔ-s 	chronic (of illness)
顧 	顾 	gù 	kuH 	k- 	-u 	departing 	*kʷˁaʔ-s {*[k]ʷˁaʔ-s} ~ *[k]ʷˁaʔ 	look around
固 	固 	gù 	kuH 	k- 	-u 	departing 	*kˁa-s {*kˁa(ʔ)-s} 	fortified, secure
故 	故 	gù 	kuH 	k- 	-u 	departing 	*kˁa-s {*kˁa(ʔ)-s} 	fact; reason
痼 	痼 	gù 	kuH 	k- 	-u 	departing 	*kˁa-s {*[k]ˁa-s} 	chronic (of illness)
故 	故 	gù 	kuH 	k- 	-u 	departing 	*kˁaʔ-s 	old (not new)
瓜 	瓜 	guā 	kwæ 	kw- 	-æ 	even 	*kʷˁra 	melon, gourd
騧 	䯄 	guā 	kwæ 	k- 	-wæ 	even 	*kˁroj {*[k]ˁroj} 	yellow horse with black mouth
刮 	刮 	guā 	kwæt 	k- 	-wæt 	entering 	*kʷˁrat {*[kʷˁ]r[a]t} 	scrape (v.)
寡 	寡 	guǎ 	kwæX 	k- 	-wæ 	rising 	*C.kʷˁraʔ {*[C.k]ʷˁraʔ} 	few
冎 	冎 	guǎ 	kwæX 	k- 	-wæ 	rising 	*kʷˁrajʔ 	cut meat from the bone
挂 	挂 	guà 	kwɛH 	k- 	-wɛ 	departing 	*kʷˁre-s {*[k]ʷˁre-s} 	suspend
絓 	絓 	guà 	kwɛH 	k- 	-wɛ 	departing 	*kʷˁre-s {*[k]ʷˁre-s} 	entangled
卦 	卦 	guà 	kwɛH 	k- 	-wɛ 	departing 	*kʷˁre-s {*[k]ʷˁre-s} 	prognosticate with Achillea
乖 	乖 	guāi 	kwɛj 	k- 	-wɛj 	even 	*kʷˁrəj 	oppose; disorder
夬 	夬 	guài 	kwæjH 	k- 	-wæj 	departing 	*kʷˁret-s {*[k]ʷˁret-s} 	divide, make a breach
關 	关 	guān 	kwæn 	k- 	-wæn 	even 	*kˁron {*[k]ˁro[n]} 	barrier
關 	关 	guān 	kwæn 	k- 	-wæn 	even 	*kˁron {*[k]ˁro[n]} 	[bird’s cry]
觀 	观 	guān 	kwan 	k- 	-wan 	even 	*C.qʷˁar 	look (v.)
冠 	冠 	guān 	kwan 	k- 	-wan 	even 	*k.ʔˁon 	cap (n.)
官 	官 	guān 	kwan 	k- 	-wan 	even 	*kʷˁan {*kʷˁa[n]} 	official (n.)
棺 	棺 	guān 	kwan 	k- 	-wan 	even 	*kʷˁan {*kʷˁa[n]} 	inner coffin
鰥 	鳏 	guān 	kwɛn 	k- 	-wɛn 	even 	*kʷˁrən {*[k]ʷˁrə[n]} 	widower
鰥 	鳏 	guān 	kwɛn 	k- 	-wɛn 	even 	*kʷˁrən {*[k]ʷˁrə[n]} 	a kind of fish
館 	馆 	guǎn 	kwanH 	k- 	-wan 	departing 	*kˁonʔ-s {*[k]ˁo[n]ʔ-s} 	lodging-house
管 	管 	guǎn 	kwanX 	k- 	-wan 	rising 	*kˁonʔ {*[k]ˁo[n]ʔ} 	tube; flute
筦 	筦 	guǎn 	kwanX 	k- 	-wan 	rising 	*kˁonʔ {*[k]ˁo[n]ʔ} 	tube; flute
摜 	掼 	guàn 	kwænH 	k- 	-wæn 	departing 	*kˁron-s {*kˁro[n]-s} 	accustomed to
慣 	惯 	guàn 	kwænH 	k- 	-wæn 	departing 	*kˁron-s {*kˁro[n]-s} 	accustomed to
串 	串 	guàn 	kwænH 	k- 	-wæn 	departing 	*kˁron-s {*kˁro[n]-s} 	custom
貫 	贯 	guàn 	kwan 	k- 	-wan 	even 	*kˁon {*kˁo[n]} 	pass through the center
雚 	雚 	guàn 	kwanH 	k- 	-wan 	departing 	*C.qʷˁar-s 	heron
觀 	观 	guàn 	kwanH 	k- 	-wan 	departing 	*C.qʷˁar-s 	watchtower
冠 	冠 	guàn 	kwanH 	k- 	-wan 	departing 	*k.ʔˁon-s 	cap (v.)
貫 	贯 	guàn 	kwanH 	k- 	-wan 	departing 	*kˁon-s 	pass through the center
祼 	祼 	guàn 	kwanH 	k- 	-wan 	departing 	*kˁor-s {*[k]ˁor(ʔ)-s} 	pour out libation
光 	光 	guāng 	kwang 	k- 	-wang 	even 	*kʷˁaŋ 	light, bright
廣 	广 	guǎng 	kwangH 	k- 	-wang 	departing 	*kʷˁaŋʔ-s 	distance from east to west
廣 	广 	guǎng 	kwangX 	k- 	-wang 	rising 	*kʷˁaŋʔ 	wide
龜 	龟 	guī 	kjuw 	k- 	-juw 	even 	*kʷə {*[k]ʷə} 	tortoise
歸 	归 	guī 	kjwɨj 	k- 	-jwɨj 	even 	*kʷəj {*[k]ʷəj} 	return (v.)
媯 	妫 	guī 	kjwe 	k- 	-jwe 	even 	*C.qʷaj {*C.qʷ(r)aj} 	(place and family name)
規 	规 	guī 	kjwie 	k- 	-jwie 	even 	*kʷe 	compass, circle
圭 	圭 	guī 	kwej 	k- 	-wej 	even 	*kʷˁe {*[k]ʷˁe} 	jade scepter
龜 	龟 	guī 	kwij 	k- 	-wij 	even 	*kʷrə {*[k]ʷrə} 	tortoise
瑰 	瑰 	guī 	kwoj 	k- 	-woj 	even 	*kˁuj {*[k]ˁuj} 	kind of precious stone
鬼 	鬼 	guǐ 	kjwɨjX 	k- 	-jwɨj 	rising 	*k-ʔujʔ 	ghost
詭 	诡 	guǐ 	kjweX 	k- 	-jwe 	rising 	*kojʔ {*[k](r)ojʔ} 	perverse
癸 	癸 	guǐ 	kjwijX 	k- 	-jwij 	rising 	*kʷijʔ 	10th heavenly stem
簋 	簋 	guǐ 	kwijX 	k- 	-wij 	rising 	*kʷruʔ 	guǐ ritual vessel
軌 	轨 	guǐ 	kwijX 	k- 	-wij 	rising 	*kʷruʔ {*[k]ʷruʔ} 	wheel ruts
跪 	跪 	guì 	gjweX 	g- 	-jwe 	rising 	*Cə.ɡojʔ {*[Cə.ɡ](r)ojʔ} 	kneel; foot
匱 	匮 	guì 	gwijH 	g- 	-wij 	departing 	*ɡruj-s {*[ɡ]ruj-s} 	box (n.)
櫃 	柜 	guì 	gwijH 	g- 	-wij 	departing 	*ɡruj-s {*[ɡ]ruj-s} 	box
貴 	贵 	guì 	kjwɨjH 	k- 	-jwɨj 	departing 	*kuj-s 	precious; expensive
過 	过 	guō 	kwa 	k- 	-wa 	even 	*Cə.kʷˁaj 	tough, fibrous (vegetables)
過 	过 	guō 	kwa 	k- 	-wa 	even 	*kʷˁaj 	to pass
郭 	郭 	guō 	kwak 	k- 	-wak 	entering 	*kʷˁak 	outer wall
虢 	虢 	guó 	kwæk 	k- 	-wæk 	entering 	*kʷˁrak {*[k]ʷˁrak} 	(place name)
馘 	馘 	guó 	kwɛk 	k- 	-wɛk 	entering 	*C.qʷˁ‹r›ək 	severed left ears
國 	国 	guó 	kwok 	k- 	-wok 	entering 	*kʷˁək {*[k]ʷˁək} 	state (n.)
果 	果 	guǒ 	kwaX 	k- 	-wa 	rising 	*kˁorʔ {*[k]ˁo[r]ʔ} 	fruit; result
蜾 	蜾 	guǒ 	kwaX 	k- 	-wa 	rising 	*kˁorʔ-rˁorʔ (redup. infixation ‹ *kˁorʔ) 	kwaX.lwaX a kind of wasp
裹 	裹 	guǒ 	kwaX 	k- 	-wa 	rising 	*s.kˁorʔ {*s.[k]ˁo[r]ʔ} 	to wrap
槨 	椁 	guǒ 	kwak 	k- 	-wak 	entering 	*kʷˁak 	outer coffin
過 	过 	guò 	kwaH 	k- 	-wa 	departing 	*kʷˁaj-s 	to pass; transgress
蝦 	虾 	há 	hæ 	h- 	-æ 	even 	*ɡˁra {*[ɡ]ˁra} 	hae-mae frog
骸 	骸 	hái 	hɛj 	h- 	-ɛj 	even 	*ɡˁrə {*[ɡ]ˁrə} 	bones, skeleton
孩 	孩 	hái 	hoj 	h- 	-oj 	even 	*ɡˁə {*[ɡ]ˁə} 	child
海 	海 	hǎi 	xojX 	x- 	-oj 	rising 	*m̥ˁəʔ (dial. *m̥ˁ- › x-) 	sea
害 	害 	hài 	hajH 	h- 	-aj 	departing 	*N-kˁat-s 	be hurt (v.i.); injury (n.)
害 	害 	hài 	hajH 	h- 	-aj 	departing 	*m-kˁat-s 	hurt (v.t.)
亥 	亥 	hài 	hojX 	h- 	-oj 	rising 	*ɡˁəʔ {*[ɡ]ˁəʔ} 	12th earthly branch
酣 	酣 	hān 	ham 	h- 	-am 	even 	*ɡˁam {*[ɡ]ˁam} 	half-drunk
邯 	邯 	hán 	ham 	h- 	-am 	even 	*ɡˁam {*[ɡ]ˁam} 	han.tan (placename)
寒 	寒 	hán 	han 	h- 	-an 	even 	*Cə.ɡˁan {*Cə.[ɡ]ˁa[n]} 	cold
邯 	邯 	hán 	han 	h- 	-an 	even 	*ɡˁan {*[ɡ]ˁa[n]} 	han.tan (placename)
韓 	韩 	hán 	han 	h- 	-an 	even 	*ɡˁar {*[ɡ]ˁar} 	(place name)
圅 	圅 	hán 	hom 	h- 	-om 	even 	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m} 	contain
含 	含 	hán 	hom 	h- 	-om 	even 	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m} 	hold in the mouth
函 	函 	hán 	hom 	h- 	-om 	even 	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m} 	envelop, contain
唅 	唅 	hán 	hom 	h- 	-om 	even 	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m} 	hold in the mouth
涵 	涵 	hán 	hom 	h- 	-om 	even 	*ɡˁom {*[ɡ]ˁ[o]m} 	soak, overflow
含 	含 	hán 	homH 	h- 	-om 	departing 	*Cə-m-kˁəm-s {*Cə-m-[k]ˁ[ə]m-s} 	to put in the mouth
罕 	罕 	hǎn 	xanX 	x- 	-an 	rising 	*qʰˁarʔ {*qʰˁa[r]ʔ} 	rare
罕 	罕 	hǎn 	xanX 	x- 	-an 	rising 	*qʰˁarʔ {*qʰˁa[r]ʔ} 	net
汗 	汗 	hàn 	hanH 	h- 	-an 	departing 	*Cə.ɡˁar-s {*Cə.[ɡ]ˁa[r]-s} 	sweat (n.)
翰 	翰 	hàn 	hanH 	h- 	-an 	departing 	*ɡˁar-s {*[ɡ]ˁar-s} 	pheasant; feather, wing
翰 	翰 	hàn 	hanH 	h- 	-an 	departing 	*ɡˁar-s {*[ɡ]ˁar-s} 	high
扞 	扞 	hàn 	hanH 	h- 	-an 	departing 	*m-kˁar-s {*m-kˁa[r]-s} 	ward off; protect, guard
翰 	翰 	hàn 	hanH 	h- 	-an 	departing 	*m-kˁar-s 	prop up, support
旱 	旱 	hàn 	hanX 	h- 	-an 	rising 	*ɡˁarʔ {*[ɡ]ˁa[r]ʔ} 	dry, drought
憾 	憾 	hàn 	homH 	h- 	-om 	departing 	*N-kˁəmʔ-s {*N-kˁ[ə]mʔ-s} 	dissatisfied
頷 	颔 	hàn 	homX 	h- 	-om 	rising 	*ɢˁəm {*[ɢ]ˁ[ə]mʔ} 	jaw, chin
漢 	汉 	hàn 	xanH 	x- 	-an 	departing 	*n̥ˁar-s (W dialect: *n̥- › x-, *-r › *-n) 	(river name)
暵 	暵 	hàn 	xanH 	x- 	-an 	departing 	*qʰˁar-s {*[qʰ]ˁarʔ-s} 	dry
厂 	厂 	hàn 	xanH 	x- 	-an 	departing 	*ŋ̊ˁar-s {*ŋ̊ˁar(ʔ)-s} 	cliff
暵 	暵 	hàn 	xanX 	x- 	-an 	rising 	*qʰˁarʔ {*[qʰ]ˁarʔ} 	scorch, burn
厂 	厂 	hàn 	xanX 	x- 	-an 	rising 	*ŋ̊ˁarʔ 	cliff
杭 	杭 	háng 	hang 	h- 	-ang 	even 	*N-ɡˁaŋ {*[N]-[g]ˁaŋ} 	to go by boat
航 	航 	háng 	hang 	h- 	-ang 	even 	*N-ɡˁaŋ {*[N]-[g]ˁaŋ} 	boat; two boats tied together
行 	行 	háng 	hang 	h- 	-ang 	even 	*ɡˁaŋ {*[ɡ]ˁaŋ} 	rank, row
薅 	薅 	hāo 	xaw 	x- 	-aw 	even 	*qʰˁu 	clear away, weed (v.)
號 	号 	háo 	haw 	h- 	-aw 	even 	*C.ɡˁaw {*[C.ɡ]ˁaw} 	call out
毫 	毫 	háo 	haw 	h- 	-aw 	even 	*ɡˁaw {*[ɡ]ˁaw} 	fine animal hair
豪 	豪 	háo 	haw 	h- 	-aw 	even 	*ɡˁaw {*[ɡ]ˁaw} 	procupine; shaggy animal
號 	号 	háo 	hawH 	h- 	-aw 	departing 	*Cə.ɡaw-s {*Cə.[ɡ]ˁaw-s} 	command, call (n.)
好 	好 	hǎo 	xawX 	x- 	-aw 	rising 	*qʰˁuʔ 	good
浩 	浩 	hào 	hawX 	h- 	-aw 	rising 	*ɡˁuʔ {*[ɡ]ˁuʔ} 	vast
好 	好 	hào 	xawH 	x- 	-aw 	departing 	*qʰˁuʔ-s 	love, like (v.)
呵 	呵 	hē 	xa 	x- 	-a 	even 	*qʰˁaj 	scold
訶 	诃 	hē 	xa 	x- 	-a 	even 	*qʰˁaj 	shout, scold
欱 	欱 	hē 	xop 	x- 	-op 	entering 	*qʰˁəp {*qʰˁ[ə]p} 	sip, drink
河 	河 	hé 	ha 	h- 	-a 	even 	*C.ɡˁaj {*C.[ɡ]ˁaj} 	river
荷 	荷 	hé 	ha 	h- 	-a 	even 	*ɡˁaj {*[ɡ]ˁaj} 	lotus
何 	何 	hé 	ha 	h- 	-a 	even 	*ɡˁaj {*[ɡ]ˁaj} 	what
盍 	盍 	hé 	hap 	h- 	-ap 	entering 	*m-kˁap {*m-[k]ˁap} 	thatch, cover (v.)
曷 	曷 	hé 	hat 	h- 	-at 	entering 	*ɡˁat {*[ɡ]ˁat} 	what
覈 	覈 	hé 	hɛk 	h- 	-ɛk 	entering 	*ɡˁrək {*[ɡ]ˁr[ə]k} 	kernel
劾 	劾 	hé 	hojH 	h- 	-oj 	departing 	*ɡˁək-s {*[ɡ]ˁək-s} 	investigate
劾 	劾 	hé 	hok 	h- 	-ok 	entering 	*ɡˁək {*[ɡ]ˁək} 	investigate, try (a criminal)
合 	合 	hé 	hop 	h- 	-op 	entering 	*m-kˁop 	unite
和 	和 	hé 	hwa 	h- 	-wa 	even 	*ɢˁoj {*[ɢ]ˁoj} 	harmonious
禾 	禾 	hé 	hwa 	h- 	-wa 	even 	*ɢˁoj {*[ɢ]ˁoj} 	growing grain
鶴 	鹤 	hè 	hæwk 	h- 	-æwk 	entering 	*ɡˁrawk {*[ɡ]ˁrawk} 	white (of birds)
翯 	翯 	hè 	hæwk 	h- 	-æwk 	entering 	*ɡˁrawk {*[ɡ]ˁrawk} 	white (of birds)
鶴 	鹤 	hè 	hak 	h- 	-ak 	entering 	*ɡˁawk {*[ɡ]ˁawk} 	crane
褐 	褐 	hè 	hat 	h- 	-at 	entering 	*ɢˁat {*[ɢ]ˁat} 	coarse cloth
隺 	隺 	hè 	howk 	h- 	-owk 	entering 	*ɡˁawk {*[ɡ]ˁawk} 	high
和 	和 	hè 	hwaH 	h- 	-wa 	departing 	*ɢˁoj-s {*[ɢ]ˁoj-s} 	tune (instruments); respond in singing
嚇 	吓 	hè 	xæk 	x- 	-æk 	entering 	*qʰˁ‹r›ak 	frighten
赫 	赫 	hè 	xæk 	x- 	-æk 	entering 	*qʰˁrak 	red, fiery
壑 	壑 	hè 	xak 	x- 	-ak 	entering 	*qʰˁak 	moat; canal
黑 	黑 	hēi 	xok 	x- 	-ok 	entering 	*m̥ˁək (dial. *m̥ˁ- › xˁ-) 	black
恨 	恨 	hèn 	honH 	h- 	-on 	departing 	*m-qˁən-s {*[m-q]ˁə[n]-s} 	regret
亨 	亨 	hēng 	xæng 	x- 	-æng 	even 	*qʰˁraŋ {*[qʰ]ˁraŋ} 	penetrate
桁 	桁 	héng 	hæng 	h- 	-æng 	even 	*ɡˁraŋ {*[ɡ]ˁraŋ} 	wooden lid
衡 	衡 	héng 	hæng 	h- 	-æng 	even 	*ɡˁraŋ {*[ɡ]ˁraŋ} 	beam of a steelyard
恆 	恒 	héng 	hong 	h- 	-ong 	even 	*ɡˁəŋ {*[ɡ]ˁəŋ} 	constant
橫 	横 	héng 	hwæng 	h- 	-wæng 	even 	*C.ɡʷˁraŋ 	crosswise; horizontal
薨 	薨 	hōng 	xwong 	x- 	-wong 	even 	*m̥ˁəŋ 	to die (of king or prince)
鴻 	鸿 	hóng 	huwng 	h- 	-uwng 	even 	*ɡˁoŋ {*[ɡ]ˁoŋ} 	kind of wild goose
紅 	红 	hóng 	huwng 	h- 	-uwng 	even 	*ɡˁoŋ 	pink
弘 	弘 	hóng 	hwong 	h- 	-wong 	even 	*ɢʷˁəŋ {*[ɢ]ʷˁəŋ} 	vast
鬨 	鬨 	hòng 	huwngH 	h- 	-uwng 	departing 	*ɡˁoŋ-s {*[ɡ]ˁoŋ-s} 	quarrel, fight
喉 	喉 	hóu 	huw 	h- 	-uw 	even 	*ɡˁo {*[ɡ]ˁ(r)o} 	throat
鍭 	鍭 	hóu 	huw 	h- 	-uw 	even 	*ɡˁo {*[ɡ]ˁ(r)o} 	arrow with metal point
侯 	侯 	hóu 	huw 	h- 	-uw 	even 	*ɡˁo {*[ɡ]ˁ(r)o} 	feudal lord
猴 	猴 	hóu 	huw 	h- 	-uw 	even 	*mə-ɡˁo {*mə-ɡˁ(r)o} 	monkey
鍭 	鍭 	hóu 	huwH 	h- 	-uw 	departing 	*ɡˁo-s {*[ɡ]ˁ(r)o()-s} 	arrow with metal point
候 	候 	hòu 	huwH 	h- 	-uw 	departing 	*ɡˁo-s {*[ɡ]ˁ(r)o-s} 	wait upon
後 	后 	hòu 	huwH 	h- 	-uw 	departing 	*ɢˁoʔ-s {*[ɢ]ˁ(r)oʔ-s} 	put after ?
厚 	厚 	hòu 	huwX 	h- 	-uw 	rising 	*Cə.ɡˁoʔ {*Cə.ɡˁ(r)oʔ} 	thick
后 	后 	hòu 	huwX 	h- 	-uw 	rising 	*ɢˁoʔ {*ɢˁ(r)oʔ} 	sovereign; queen
後 	后 	hòu 	huwX 	h- 	-uw 	rising 	*ɢˁoʔ {*[ɢ]ˁ(r)oʔ} 	after
乎 	乎 	hū 	hu 	h- 	-u 	even 	*ɢˁa 	(Q particle)
乎 	乎 	hū 	hu 	h- 	-u 	even 	*ɢˁa 	in, at
幠 	幠 	hū 	xu 	x- 	-u 	even 	*m̥ˁa 	cover
呼 	呼 	hū 	xu 	x- 	-u 	even 	*qʰˁa 	call out, shout
虍 	虍 	hū 	xu 	x- 	-u 	even 	*qʰˁra (dial. *qˁʰr- ›ŋ̊ˁ- › x-) 	tiger
芴 	芴 	hū 	xwot 	x- 	-wot 	entering 	*m̥ˁut 	careless; confused
忽 	忽 	hū 	xwot 	x- 	-wot 	entering 	*m̥ˁut 	careless; confused
餬 	餬 	hú 	hu 	h- 	-u 	even 	*Cə.ɡˁa {*Cə.[ɡ]ˁa} 	supply food to, feed
糊 	糊 	hú 	hu 	h- 	-u 	even 	*Cə.ɡˁa 	to paste (v.)
狐 	狐 	hú 	hu 	h- 	-u 	even 	*ɡʷˁa {*[ɡ]ʷˁa} 	fox
胡 	胡 	hú 	hu 	h- 	-u 	even 	*ɡˁa {*[ɡ]ˁa} 	foreigners in the north
壺 	壶 	hú 	hu 	h- 	-u 	even 	*ɡˁa {*[ɡ](ʷ)ˁa} 	flask
葫 	葫 	hú 	hu 	h- 	-u 	even 	*ɡˁa {*[ɡ]ˁa} 	gourd
搰 	搰 	hú 	hwot 	h- 	-wot 	entering 	*ɡˁut {*[ɡ]ˁut} 	dig out
滸 	浒 	hǔ 	xuX 	x- 	-u 	rising 	*qʰˁaʔ 	river bank
虎 	虎 	hǔ 	xuX 	x- 	-u 	rising 	*qʰˁraʔ (W dial.) 	tiger
沍 	沍 	hù 	huH 	h- 	-u 	departing 	*N-qˁaʔ-s 	shut in, stop up
互 	互 	hù 	huH 	h- 	-u 	departing 	*m-qˁaʔ-s 	intertwining
枑 	枑 	hù 	huH 	h- 	-u 	departing 	*m-qˁaʔ-s 	railings, fence
護 	护 	hù 	huH 	h- 	-u 	departing 	*ɢʷˁak-s {*[ɢ]ʷˁak-s} 	protect
祜 	祜 	hù 	huX 	h- 	-u 	rising 	*ɡˁaʔ {*[ɡ]ˁaʔ} 	blessing
鳸 	鳸 	hù 	huX 	h- 	-u 	rising 	*m-qʷˁaʔ 	a bird resembling a quail
戶 	户 	hù 	huX 	h- 	-u 	rising 	*m-qˁaʔ 	to stop, to check
戶 	户 	hù 	huX 	h- 	-u 	rising 	*m-qˁaʔ 	door
扈 	扈 	hù 	huX 	h- 	-u 	rising 	*m-qˁaʔ 	to stop
呼 	呼 	hù 	xuH 	x- 	-u 	departing 	*qʰˁa-s 	call out, shout
荂 	荂 	huā 	xju 	x- 	-ju 	even 	*qʷʰa {*qʷʰ(r)a} 	flower
花 	花 	huā 	xwæ 	x- 	-wæ 	even 	*qʷʰˁra 	flower (n.)
華 	华 	huā 	xwæ 	x- 	-wæ 	even 	*qʷʰˁra 	flower (n.)
划 	划 	huá 	hwæ 	h- 	-wæ 	even 	*C.ɡʷˁraj {*C.[ɡ]ʷˁraj} 	row (v.)
華 	华 	huá 	hwæ 	h- 	-wæ 	even 	*N-qʷʰˁra 	flower (v.); flowery (adj.)
滑 	滑 	huá 	hwɛt 	h- 	-wɛt 	entering 	*Nə-ɡˁrut 	slippery
猾 	猾 	huá 	hwɛt 	h- 	-wɛt 	entering 	*ɡˁrut {*[ɡ]ˁrut} 	crafty
猾 	猾 	huá 	hwɛt 	h- 	-wɛt 	entering 	*m-kˁrut 	disturb, trouble
譁 	譁 	huá 	xwæ 	x- 	-wæ 	even 	*qʷʰˁra 	shout
華 	华 	huà 	hwæH 	h- 	-wæ 	departing 	*ɢʷˁra-s {*[ɢ]ʷˁra-s} 	[name of a mountain]
輠 	輠 	huà 	hwæX 	h- 	-wæ 	rising 	*ɡˁ‹r›orʔ {*[ɡ]ˁ‹r›orʔ} (dial. › *-j) 	turn around (as a wheel)
踝 	踝 	huà 	hwæX 	h- 	-wæ 	rising 	*m-kˁ‹r›orʔ {*m-kˁ‹r›o[r]ʔ} 	ankle
話 	话 	huà 	hwæjH 	h- 	-wæj 	departing 	*ɡʷˁrat-s {*[ɡ]ʷˁrat-s} 	speak; words
畫 	划 	huà 	hwɛH 	h- 	-wɛ 	departing 	*C-ɡʷˁrek-s 	drawing (n.)
畫 	划 	huà 	hwɛk 	h- 	-wɛk 	entering 	*ɡʷˁrek 	draw (v.)
化 	化 	huà 	xwæH 	x- 	-wæ 	departing 	*qʷʰˁ‹r›aj-s 	transform
淮 	淮 	huái 	hwɛj 	h- 	-wɛj 	even 	*ɡʷˁrij {*[ɡ]ʷˁrij} 	(name of a river)
槐 	槐 	huái 	hwɛj 	h- 	-wɛj 	even 	*ɡˁ‹r›uj {*[ɡ]ˁ‹r›uj} 	Sophora
懷 	怀 	huái 	hwɛj 	h- 	-wɛj 	even 	*ɡˁruj {*[ɡ]ˁruj} 	bosom; embrace
槐 	槐 	huái 	hwoj 	h- 	-woj 	even 	*ɡˁuj {*[ɡ]ˁuj} 	Sophora
壞 	坏 	huài 	hwɛjH 	h- 	-wɛj 	departing 	*N-kˁruj-s {*N-[k]ˁruj-s} 	be destroyed
壞 	坏 	huài 	kwɛjH 	k- 	-wɛj 	departing 	*kʷˁruj-s {*[k]ʷˁruj-s} 	destroy
歡 	欢 	huān 	xwan 	x- 	-wan 	even 	*qʷʰˁar 	rejoice; joyous
環 	环 	huán 	hwæn 	h- 	-wæn 	even 	*C.ɢʷˁren 	ring (n.)
還 	还 	huán 	hwæn 	h- 	-wæn 	even 	*ɢʷˁren {*[ɢ]ʷˁren} 	agile
亘 	亘 	huán 	hwan 	h- 	-wan 	even 	*ɢʷˁar {*[ɢ]ʷˁar} 	turn around, turn back
桓 	桓 	huán 	hwan 	h- 	-wan 	even 	*ɢʷˁar {*[ɢ]ʷˁar} 	pillar; martial-looking
貆 	貆 	huán 	xjwon 	x- 	-jwon 	even 	*qʷʰar 	badger (n.)
緩 	缓 	huǎn 	hwanX 	h- 	-wan 	rising 	*ɢʷˁanʔ {*[ɢ]ʷˁa[n]ʔ} 	slack; slow
宦 	宦 	huàn 	hwænH 	h- 	-wæn 	departing 	*ɡʷˁran-s {*[ɡ]ʷˁr[a][n]-s} 	servant
患 	患 	huàn 	hwænH 	h- 	-wæn 	departing 	*ɡˁron-s {*[ɡ]ˁro[n]-s} 	calamity; distress
擐 	擐 	huàn 	hwænH 	h- 	-wæn 	departing 	*ɢʷˁren-s {*[ɢ]ʷˁren-s} 	put on clothing
輠 	輠 	huàn 	hwanX 	h- 	-wan 	rising 	*ɡˁorʔ {*[ɡ]ˁorʔ} 	turn around (as a wheel)
渙 	涣 	huàn 	xwanH 	x- 	-wan 	departing 	*qʷʰˁan-s {*qʷʰˁa[n]-s} 	amply-flowing
巟 	巟 	huāng 	xwang 	x- 	-wang 	even 	*m̥ˁaŋ 	broad
衁 	衁 	huāng 	xwang 	x- 	-wang 	even 	*m̥ˁaŋ 	blood
荒 	荒 	huāng 	xwang 	x- 	-wang 	even 	*m̥ˁaŋ 	weed-covered
黃 	黄 	huáng 	hwang 	h- 	-wang 	even 	*N-kʷˁaŋ 	yellow
皇 	皇 	huáng 	hwang 	h- 	-wang 	even 	*ɢʷˁaŋ {*[ɢ]ʷˁaŋ} 	yellow and white spotted
