CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
挑	to1	ƛ(h)ēw	Used also for *Ł(h)ēwʔ, MC díew (FQ 徒了), Pek. (irr.) tiǎo 'to lift up; to arouse, provoke'.	to2	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+754&root=config	thiēw	l̥iāw		7524			tõ2		1145 o	thiēw	thiew	thiēw	tiāo	ƛ(h)ēw	64	1) нести груз на жерди (на плече); 2) выбирать, избирать; [tiǎo] вызывать, провоцировать, вовлекать				l̥jāw (~ ƛh-)
薸		bhew	For *bh cf. Fuzhou phieu<sup>2</sup>, Yilan phio<sup>2</sup>.			bhjew	bhjaw		0						bhjew	bjew	bhjew	piaó	bhew	0					bhjaw
甚		d(h)ǝ́m	Also read *d(h)ǝmʔ-s, MC ʒ́ìm id.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+802&root=config	ʒ́(h)ím	ʒ́(h)ǝ́m		755					0658 a	ʒ́(h)ím	ʒ́ím	ʒ́(h)ím	shén	d(h)ǝmʔ	99	какой; [shèn] сильно; очень, весьма; чересчур; [shé sha] что?; какой?		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+491&root=config	thậm	d(h)ǝ́m
胑									0					0865 b						0					
嬖									8833					0853 v				bì		38	1) фаворит; любимый (<i>кем-л.</i>); 2) страстно привязаться, пристраститься; 3) везение, удача, счастливый случай				
踖									1486					0798 k				jí		157	<i>уст.</i> ступать; почтительно подвигаться				
望		maŋh	Also read *maŋ, MC mwaŋ (FQ 武方) id. Also used for a homonymous *maŋ(s) 'the full moon; name of a sacrifice'. Standard Sino-Viet. is vọng; a more archaic loan is Viet. mong 'to expect, desire'. Viet. mùng, mồng 'first decade of the month' ( = 'full moon') has parallels in Austroasiatic (PAA *mɔŋ 'moon, month') which is probably the source  of OC *maŋ(s) 'full moon'. For *m- cf. Min forms: Xiamen bɔŋ<sup>6</sup>, Chaozhou mo<sup>6</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1194&root=config	mwàŋ	mwaŋh		307					0742 m-n	mwàŋ	mwàŋ	mwàŋ	wàng	maŋs	74	1) смотреть вдаль; наблюдать; 2) мечтать, надеяться; 3) слава, репутация; 4) <i>стар.</i> день полнолуния, 15-е число лунного месяца; 5) <i>вм.</i> 往	28.1, 28.2, 28.3, 50.2, 58.2		mong	maŋh
突		ƛ(h)wǝ̄t	Also read *Ł(h)ūt ( ~ l(h)-, dh-) id.; the original meaning of the graph is 'dig through, break through, protrude', attested only since Late Zhou.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+824&root=config	thwǝ̄t	l̥wǝ̄t		4982					0489 a	thwǝ̄t	thot	thwǝ̄t	tú	ƛ(h)ūt (~ sl(h)-, ~ th-)	116	1) выскочить; наскочить; прорвать, прошибить; 2) столкнуться; столкновение; конфликт; 3) неожиданно, внезапно, врасплох; 4) выпячивать(ся); выдаваться; выдающийся; 5) <i>перен.</i> ударно, по-ударному; ударный; 6) дымоход				l̥wǝ̄t (~ ƛh-)
梅		mǝ̄	Viet. me has a narrowed meaning 'tamarind' (cf. Chin. 酸梅 'tamarind',  lit. 'sour plum'; note, however, that the Viet. word can go back to PAA *ʔǝm-bVl 'tamarind' and the Chin. usage may be secondary - due to a chance resemblance with an independent Austroasiatic root). An older loanword is probably Viet. mo' 'apricot'. The  regular Sino-Viet. reading is mai. For *m- cf. Min forms: Xiamen m<sup>2</sup>, Chaozhou bue<sup>2</sup>, Fuzhou muoi<sup>2</sup>, Jianou mo<sup>2</sup>; Shaowu mei<sup>2</sup>. Cf. PA *i̯úmu.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1204&root=config	mǝ̄	mǝ̄		4766					0947 l	mǝ̄j	moj	mǝ̄	méi	mǝ̄	75	1) слива, чернослив; ягоды (<i>общее понятие</i>); 2) сифилис; 3) <i>см.</i> 霉	20.1, 20.2, 20.3		me	mǝ̄
孩		g(h)ǝ̄			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+714&root=config	gǝ̄ (~ ɣ-)	gǝ̄ (~ ɣ-)		7815					0937 h	gǝ̄ (~ ɣ-)	ɣʌj	gǝ̄ (~ ɣ-)	hái	g(h)ǝ̄	39	1) ребенок; считать (обращаться как с) ребенком; детский; молодой (<i>о животном</i>); 2) смех ребенка			hài	gǝ̄ (~ ɣ-)
儢		r(h)á				l(h)ó	r(h)á		0					0069 t	l(h)ó	lö́	l(h)ó	lǚ	r(h)aʔ	0					r(h)á
郜									0					1039 f-g				gao		0					
僩		g(h)rā́n				gạ̄́n (~ ɣ-)	grā́n (~ ɣ-)		3417					0191 g	gạ̄́n (~ ɣ-)	ɣạ́n	gạ̄́n (~ ɣ-)	xiàn	g(h)rānʔ	9	свирепый; воинственный	55.1_, 55.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2396&root=config		grā́n (~ ɣ-)
群		ghun	For *gh- cf. Chaozhou, Fuzhou khuŋ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1691&root=config	ghun	ghun		2515					0459 d-e	ghun	gün	ghun	qún	ghur	123	1) масса, толпа; сборище; скопище; стая; стадо, табун, косяк; компания; толпой, кучей, массой; множество; во множестве; скопляться, скучиваться; 2) <i>устар. формант множественного числа</i>	26.4	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2354&root=config		ghun
砥		tǝ́j				ćíj	ćǝ́j		6693					0590 o	ćí	ćí	ćíj	dǐ	tǝjʔ	112	1) точильный камень; 2) гладкий, ровный; уравнять; равный; поровну				tǝ́j
年		nhīn	For *nh cf. Shaowu nin<sup>7</sup>, Chaozhou hĩ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+266&root=config	nhiēn	nhiǝ̄n		2547					0364 a-d	nhiēn	nien	nhiēn	nián	nhīn	51	1) год; годы, возраст; 2) урожай; 3) Новый год; новогодний; 4) Нянь (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+587&root=config	niên	nhjǝ̄n
貨		ŋ̥wājh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1298&root=config	hwā̀	ŋ̥wǟh		8044					0019 c	hwā̀	xwầ	hwā̀	huò	sŋōjs	154	1) товар, груз; 2) богатство; 3) продавать; 4) давать взятку; взятка; 5) Хо (<i>фамилия</i>)				ŋ̥wājh
樅		shoŋ				shjoŋ	shjoŋ		5853					1191 i	shjoŋ	chjöuŋ	shjoŋ	cōng	shoŋ	75	<i>бот.</i> пихта		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1247&root=config		shoŋ
浣									7305									huǎn		85	1) мыть(ся), обмывать(ся); 2) <i>уст.</i> декада				
鏃									5040					1206 d				cù		167	наконечник стрелы; острие копья				
饕		thāw				thāw	thāw		5801						thāw	thâw	thāw	tāo	thāw	184	корыстолюбивый, алчный; прожорливый, жадный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+478&root=config		thāw
舒		l̥a	Fuzhou chü<sup>1</sup> may point rather to OC *slha, with irregular development > MC śö (normally *sjö would be expected).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1505&root=config	śo	śa		3023					0083 k	śo	śö	śo	shū	sla	135	1) вытягивать; распространяться; развертывать, расстилать; разгладить; 2) неторопливый, медлительный; спокойный	23.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1675&root=config		l̥a
拔		b(h)āt	Another usage: MC bạ̈t, OC *brāt (FQ 蒲八) 'to pull up, uproot' (with irregular  development in MC: bạt would be regularly expected; for *b cf. Xiamen puiʔ<sup>8</sup>, Chaozhou puek<sup>8</sup>, Fuzhou pek<sup>8</sup>). A related reading /  meaning is pèi, MC bwâj̀ (FQ /Jiyun/ 蒲蓋), OC *bāt-s 'thinned out'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+572&root=config	b(h)āt	b(h)āt		5911					0276 h	b(h)āt	bwât	b(h)āt	bá	b(h)āt	64	1) выдернуть, выкорчевать; извлечь; 2) стащить; вытащить; оттянуть; вытянуть; 3) выдвинуть; продвинуть; выбрать (<i>на пост</i>); 4) захватить				b(h)āt
焙		bǝ̄h	For *b- cf. Min forms: Chaozhou pue<sup>6</sup>, Fuzhou puoi<sup>6</sup>, Jianou po<sup>6</sup>. The fanqie is taken from Jiyun.			bǝ̄̀	bǝ̄h		1232						bǝ̄̀j	bòj	bǝ̄̀	bèi	bǝ̄(ʔ)s	86	1) сушить на огне; обжаривать; обжигать; 2) искусственно выводить				bǝ̄h
翦		cén				cjén	cján		3340					0245 i	cjén	cjén	cjén	jiǎn	ćenʔ	124	<i>см.</i> 剪	16.1, 16.2, 16.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1297&root=config		cján
鬚		sho	For *sh- cf. Xiamen, Chaozhou, Fuzhou chiu<sup>1</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2550&root=config	shjwo	shjwa		8104					0133 d	shjwo	sjü	shjwo	xū	sho	190	1) усы; баки; 2) усики (<i>насекомого</i>); 3) усы, плети (<i>растения</i>)				shwa
喬		g(r)aw	For initial *g- cf. Xiamen kiau<sup>2</sup>, Fuzhou kieu<sup>2</sup> (Chaozhou khiǝu<sup>2</sup> is secondary). The character is also used in inscriptions as a loan for 鷮 *kaw / *gaw 'a k. of pheasant'.  See 高.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1354&root=config	gew	g(r)aw		3758					1138 a-b	gew	gew	gew	qiáo	g(r)aw	115	1) высокий; возвышенный; величественный; 2) гордый, заносчивый; 3) маскироваться под..., гримироваться, рядиться; 4) Цяо (<i>фамилия</i>)	9.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2212&root=config		g(r)aw
碭									0					0720 |f ́				dang		0					
剝		prōk	Regular Sino-Viet. is bác. The most archaic loan is possibly Viet. róc 'to bark, peel' (cf. also rọc 'to cut open leaves of book'; tróc 'to scale off, peel off').		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+895&root=config	pọ̄k	prōk		2898					1228 a	pọ̄k	pạuk	pọ̄k	bō	prōk	18	1) содрать, ободрать; 2) обобрать; отнять; 3) перевозить грузы; 4) <i>звукоподражание стуку</i>		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+775&root=config	bóc	prōk
和		ghwāj	For *ghʷ- cf. Jianou o<sup>2</sup>. Also read *ghʷāj-s, MC ɣwầ, Mand. hè, Viet. họa 'to respond in singing, join in'. In Viet. cf. perhaps also hùa 'to follow, imitate'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+509&root=config	wā	wǟ		1082	wa	wa;yawaragu;yawarageru;nagomu;nagoyaka		kuwa	0008 e-j	wā	ɣwâ	wā	hé	ghʷāj	30	1) мир, согласие; мирный; дружественный; согласный; соответствовать; 2) мягкий, умеренный; теплый; умерять, смягчать; 3) сумма, в сумме; составлять, равняться; 4) японский; Япония; 5) Хэ (<i>фамилия</i>); [hè] гармония; гармоничный; петь хором; [huò] месить; смешивать; смешанный; приправлять; [hè] 1) <i>соединительный союз</i> (<i>между подлежащими или дополнениями</i>) и; 2) с			hòa	wāj
身		l̥in			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+459&root=config	śɨn	śǝn		4040					0386 a-c	śɨn	śin	śɨn	shēn	slin	158	1) тело; туловище; 2) корпус (<i>напр. судна</i>); 3) ствол (<i>дерева, орудия</i>); 4) я; сам, лично; персональный, частный; 5) беременность	28.4_		thân	l̥jǝn
卦		kwrēh	Attested already in Yijing, but absent from Schüssler's dictionary. Standard Sino-Viet. is quái.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+501&root=config	kwiẹ̄̀	kwriēh		1955					0879 s	kwiẹ̄̀	kwạ̈̀	kwiẹ̄̀	guà	kʷrēs	25	1) триграмма; гексаграмма; 2) гадать, предсказывать; 3) 10-е число (<i>в телеграммах</i>)			que`	kwrēh
陌		m(h)rāk				m(h)ẹ̄k	m(h)rāk		1663					0781 g	m(h)ẹ̄k	mạ̈ik	m(h)ẹ̄k	mò	m(h)rāk	170	1) тропа на поперечной меже; межа; базарная улица; дорога; 2) незнакомый; прохожий; посторонний; 3) 11-е число (<i>в телеграммах</i>); [bái bó] <i>вм.</i> 百				m(h)rāk
試		ƛhǝh	Standard Sino-Viet. is thí. Also borrowed in Viet. as thu`'. For *ƛh- (which would normally yield MC ṭhɨ̀, replaced by a dialectal reflex) cf. Xiamen chi<sup>5</sup>, Chaozhou chi<sup>5</sup>, Fuzhou che<sup>5</sup>, Jianou chi<sup>5</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1726&root=config	shɨ̀	shǝh		6724					0918 n	shɨ̀	śɨ̀	shɨ̀	shì	ƛhǝks	149	1) пробовать, испытывать, экспериментировать; проба, испытание, опыт; 2) экзаменовать; экзамен; допытываться; исследовать; 3) сравнивать, сопоставлять; 4) пробовать (<i>на вкус</i>), отведывать		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1958&root=config	thi	ƛhǝh
楯									1692					0465 b				shǔn		75	1) щит; 2) перила; решетка				
除		Ła	Also read *Ła-s, MC ḍö̀ id. Regular Sino-Viet. is trù'. MC ḍ- normally   reflects OC *Łh-; in this case, however, the Min dialects have a uniform   unaspirated reflex (Xiamen tu<sup>2</sup>, Fuzhou tuo<sup>2</sup>, Jianou tü<sup>2</sup>, tiu<sup>2</sup>). The same exceptional development is attested  in three other cases (see 池,  腸, 場).  It is not quite clear what happens here: either Min dialects reveal old literary influence, or these all are cases of irregular absence of fricativization  *Ł-  >  ź- > j- that occurred elsewhere already  in  the  Han period.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1086&root=config	źo	źa		8312					0082 m-n	źo	ḍö	źo	chú	Ła	170	1) исключать, не считать; кроме; 2) искоренять, уничтожать; удалять, убирать; 3) <i>мат.</i> делить; деление; 4) предложить должность, назначить; дать; 5) сменять; смена; 6) <i>древн.</i> ступени, ведущие в зал; вестибюль			chù'a	la
梓		cǝ́				cjɨ́	cjǝ́		2424	si	shi;azusa		si	0965 a	cjɨ́	cjɨ́	cjɨ́	zǐ	ćǝʔ	75	1) <i>бот.</i> катальпа (Catalpa ovata); 2) резать, гравировать по дереву; 3) плотничать; плотник; 4) родина, место рождения; 5) Цзы (<i>фамилия</i>)	50.1			cǝ́
蜂	xü̃4	phoŋ	Also read *bhōŋ, MC buŋ (FQ 薄紅) id.	fü4	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1717&root=config	phoŋ	phoŋ		2554			fü̃4		1197 s-t	phoŋ	phöuŋ	phoŋ	fēng	phoŋ	142	пчела; оса; шмель		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+321&root=config		phoŋ
鏐									9999					1069 b-e				liú		167	название металла*				
蘇		sā	Also used for a homonymous *sā 'to revive; tremble, fear' (in Chuci also 'take').		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2487&root=config	sō	sā		5412					0067 a-b	sō	so	sō	sū	sā	140	1) <i>сокр.</i> СССР; советский; 2) <i>сокр.</i> пров. Цзянсу; г. Сучжоу; 3) <i>бот.</i> мелисса китайская (Perilla nankinensis); 4) оживать, возвращаться к жизни; пробуждаться от спячки; приходить в себя; 5) размякнуть, раскиснуть, <i>см.</i> 酥; 6) Су (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1532&root=config		sā
崖									178					0879 q				yá		46	1) обрыв; скала; 2) край, предел				
價		krājh	See 賈.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1952&root=config	kạ̈̄̀	krǟh		7984					0038 c	kạ̈̄̀	kạ̀	kạ̈̄̀	jià	krājʔs	9	цена; стоимость; эквивалент; [-jia -ga] <i>диал. суффикс наречий</i>				krājh
榛		crin				c̣ɨn	c̣ǝn		5423					0380 f	c̣ɨn	c̣in	c̣ɨn	zhēn	ćrin	75	1) орешник; 2) заросли	38.4_, 50.1			c̣jǝn
朋		bhǝ̄ŋ	For *bh- cf. Chaozhou pheŋ<sup>2</sup>, Yilan phiǝŋ<sup>2</sup>, Longdu phāŋ<sup>6</sup>. Cf. PAN *tabaŋ 'help, assist'.	phou2-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+596&root=config	bhǝ̄ŋ	bhǝ̄ŋ		3490					0886 a-e	bhǝ̄ŋ	bʌŋ	bhǝ̄ŋ	péng	bhǝ̄ŋ	74	1) друг, приятель, товарищ; содружество; 2) клика; составлять клику из своих людей; сообща; 3) равный; поровну; по плечу; 4) связка раковин (монет)				bhǝ̄ŋ
輟		trwat	Modern ch- is irregular.			ṭwet	ṭwat		5939					0295 e	ṭwet	ṭwet	ṭwet	zhuò	trot	159	прекратить, перестать, приостановить; бросить; отказаться от...				ṭwat
戒					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+393&root=config				6814							kạ̈̀		jiè		62	1) предостерегать, предупреждать; внушать осторожность к...; принять меры предосторожности; остерегаться; быть настороженным по отношению к (<i>чему-л.</i>); 2) воздерживаться от..., избегать; бросать (<i>напр. пить</i>, <i>курить опиум</i>); избавиться (<i>от дурной привычки</i>); воздержание; пост; 3) обет, зарок; заповедь; предписание; правила; 4) <i>будд.</i> монашеский обет, постриг				
霸		phrāk	Somewhat later (since Late Zhou) the character is attested with the reading *prāk-s, MC pạ̀ (FQ 必駕), mod. bà 'leadership, supreme ruler'. The fanqie for phạ̈ik is taken from Jiyun.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2524&root=config	phẹ̄k	phrāk		3486					0772 b-d	phẹ̄k	phạ̈ik	phẹ̄k	bà	phrāk	173	1) гегемон; тиран; деспот; узурпатор; 2) <i>древн.</i> глава князей; 3) узурпировать, захватить; узурпаторски, незаконно; самоуправствовать; 4) быть впереди				phrāk
枑		g(h)āh	= 互 q.v.			gā̀ (~ ɣ-)	gāh (~ ɣ-)		0					0054 b	gā̀ (~ ɣ-)	ɣò	gā̀ (~ ɣ-)	hù	g(h)ā(ʔ)s	0					gāh (~ ɣ-)
己		kǝ́			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=++43&root=config	kɨ́	kǝ́		7082					0953 a-e	kɨ́	kɨ́	kɨ́	jǐ [qǐ]	klǝʔ	49	1) сам, лично; собственный; себе, себя; 2) 6-й знак десятиричного цикла				kǝ́
蝤		ʒ(h)u	Only within 蝤蠐 *ʒ́(h)u-ʒ́(h)ǝ̄j id.			ʒ(h)jiw	ʒ(h)jǝw		0					1096 n	ʒ(h)jiw	ʒjǝw	ʒ(h)jiw	qíu	ʒ́(h)u	0		57.2			ʒ(h)ǝw
巖		ŋrām	Also read *ŋ(r)ǝm, MC ŋim id. For *ŋ- cf. Xiamen giam<sup>2</sup>, Chaozhou ŋan<sup>2</sup>, Fuzhou ŋie<sup>2</sup>, Jianou ŋaŋ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2552&root=config	ŋạ̄m	ŋrām		6184					0607 l	ŋạ̄m	ŋạm	ŋạ̄m	yán	ŋrām	46	1) утес, скала; обрыв; скалистый; 2) отвесный, неприступный, опасный; 3) уединенный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2488&root=config		ŋrām
屨		kroh	Cf. 鞻 *rō, *ro-s, *kro-s.			kwò	krwah		8812					0123 q	kwò	kǜ	kwò	jù	kros	44	1) холщевая обувь; 2) осуществить, реализовать				krwah
軔		n(h)ǝnh	Also used for homonymous *n(h)ǝr-s 'measure of 8 chi; solid; soft, slack'.			ń(h)ìn	ń(h)ǝnh		4213					0456 g	ń(h)ìn	ńìn	ń(h)ìn	rèn	n(h)ǝrs	159	1) деревянная тормозная колодка на колесе; тормоз; тормозить; 2) <i>вм.</i> 韌; 3) <i>вм.</i> 仞				n(h)ǝnh
鴻		g(h)ōŋ			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2339&root=config	gōŋ (~ ɣ-)	gōŋ (~ ɣ-)		4492					1172 |g ́	gwōŋ (~ ɣ-)	ɣuŋ	gōŋ (~ ɣ-)	hóng	g(h)ōŋ	196	1) лебедь; 2) огромный; великий, славный; <i>вежл.</i> Ваш; 3) Хун (<i>фамилия</i>)	43.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2419&root=config		gōŋ (~ ɣ-)
愾									7638					0517 d				kài		61	гнев; возмущение; [xì] глубокий вздох				
褒		pāw	Cf. 袍 *bū.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2066&root=config	pāw	pāw		5751					1057 h	pāw	pâw	pāw	bāo	pāw	145	1) хвалить, превозносить; 2) награждать; наградной, почетный; 3) Бао (<i>фамилия</i>); [póu] собираться, <i>вм.</i> 渜				pāw
齊		ʒǝ̄j	Standard Sino-Viet. is tề. Sometimes used as a loan for 齋 *ćrǝ̄j (thus in Shi 15.3, 24.2). For *ʒ́ cf. Xiamen cue<sup>2</sup>, Fuzhou cä<sup>2</sup>, Jianou ci<sup>2</sup>, cai<sup>2</sup> (Chaozhou chi<sup>2</sup> is probably secondary).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1949&root=config	ʒǝ̄j	ʒǝ̄j		2712					0593 a-e	ʒǝ̄j	ʒiej	ʒǝ̄j	qí	ʒ́ǝ̄j	210	1) ровный; равный; равняться; ряд; рядовой, обычный; 2) вместе, заодно, сообща; 3) упорядочить, привести в порядок; держать в равновесии; 4) целиком, полностью; 5) <i>глагольный суффикс результата действия, указывающий на законченность ряда одинаковых действий</i>; 6) Ци (<i>династия Северного Царства 549 - 579 гг.</i>); 7) Ци (<i>древнее княжество в нынешней провинции Шаньдун</i>); <i>сокр.</i> провинция Шаньдун; 8) <i>сокр. г.</i> Цицикар; 9) Ци (<i>фамилия</i>); [zhāi] поститься; воздержание, <i>см.</i> 齋; [zī] траурное платье	15.3, 24.2, 24.3, 57.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1343&root=config	tày	ʒǝ̄j
飾									3872					0921 h				shī		184	1) украшать; украшения; 2) приукрашивать, прикрывать; отговорка; фальшь; ложный; 3) наряд, убор; вещи (<i>дорожные</i>); [chì] <i>см.</i> 飭				
薄	po2	bāk	Pek. has a colloquial reading báo and a more standard one: bó.  Also means 'to press, press on, suppress' (probably a semantic derivate:  'to make thin'). For initial *b- cf. Min forms: Xiamen, Chaozhou poʔ<sup>8</sup>, Fuzhou pok<sup>8</sup>, Jianou pɔ<sup>8</sup>.  <P>&nbsp;&nbsp;&nbsp;    The character is also used for a homonymous word *bāk, which  Sch. defines as follows: "meaning much debated; perhaps a -k derivation  (distributive) from the stem *ba 夫  'that', hence 'of all places, that one':  there".      <P>&nbsp;&nbsp;&nbsp;    A usage due to phonetic similarity is witnessed in the reduplication 薄薄  MC phâk-phâk, OC *phāk-phāk 'to go or sound phak-phak'.	po2	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2300&root=config	bāk	bāk		3198			po2		0771 p	bāk	bâk	bāk	bó	bāk	140	1) тонкий; жидкий; слабый; 2) ничтожный, недостойный; <i>вежл.</i> мой; 3) незадачливый, несчастный (<i>о судьбе</i>); 4) худосочный, тощий (<i>о земле</i>); 5) пресный, безвкусный; 6) бесчувственный, равнодушный; 7) презрительно; невнимательно; 8) близиться к...; близко к...; 9) покрывать; 10) занавеска; 11) густой (<i>о траве</i>); 12) Бао (<i>фамилия</i>)	2.3, 8.1, 8.2, 8.3, 13.3, 26.2, 35.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+178&root=config		bāk
餅		péŋ			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1942&root=config	pjéŋ	pjéŋ		2396						pjéŋ	pjéŋ	pjéŋ	bǐng	peŋʔ	184	1) блин; печенье; галета; круглый пирожок; 2) плитка; лепешка			bánh	péŋ
耆		grij	For *g- cf. Xiamen, Fuzhou ki<sup>2</sup> (Chaozhou khi<sup>2</sup> is secondary).			gij	grǝj		0					0552 l	gi	gi	gij	qí	grij	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2031&root=config		grjǝj
圈		khwren	Also read *g(h)ʷrenʔ, MC gwén (with a variant reading gwǝ́n), Mand. juàn  [Han] 'enclosure, stye'. Regular Sino-Viet. is khuyên.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1119&root=config	khwen	khwran		1891					0226 k	khwen	khwen	khwen	quān	khʷren	31	круг, окружность; кружок; петля (<i>кружева, сети</i>); обводить кружком; гасить кружком (<i>марку</i>); [juān] загнать, запереть (<i>скотину</i>); [juàn] загон, хлев; скотный двор		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2459&root=config	khoen	khwrjan
部		bā́	For *b cf. Xiamen po<sup>6</sup>, Chaozhou pou<sup>4</sup>, Fuzhou puo<sup>6</sup>, Jianou pu<sup>6</sup>. The character has also a reading pǒu, MC bʌ́w, OC *b(h)ǝ̄ʔ 'small hill',  which, although also attested late, must be more archaic for this graph (the  -ā- vocalism is not regular in this series).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1311&root=config	bṓ	bā́		2138						bṓ	bó	bṓ	bù	bāʔ	163	1) отдел, раздел; часть; разбивать на части (отделы); 2) возглавлять, руководить; подчиняться; подчиненные; подведомственные органы; части; 3) министерство; министерский			bộ	bā́
赭		tiá	Regular Sino-Viet. is gia`; d_o` is an archaic loanword.			ćá	ćä́		1614	siya	sha;akatsuchi;akai		siya	0045 d	ćá	ćá	ćá	zhě	tiaʔ	155	1) краснозем; 2) красный	38.3_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+918&root=config	d_o`	tiá
進		cinh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1544&root=config	cjìn	cjǝnh		6455						cjìn	cjìn	cjìn	jìn	cins (~ ć-, ~ -ǝrs)	162	1) идти вперед; продвигаться, наступать; прогрессировать; прогресс; 2) входить; ввозить; вводить; поступать; поступление; приход; 3) продвигать, выдвигать; рекомендовать; повысить (<i>напр. в чине</i>); 4) подносить, предлагать; представлять (<i>начальнику</i>); 5) <i>глагольный суффикс, указывающий на направление действия внутрь</i>			tiến	cjǝnh
揮					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1395&root=config				2615					0458 i				huī		64	1) махать, размахивать; смахнуть; 2) приводить в движение, двигать; руководить; действовать (<i>чем-л.</i>); 3) разбрасывать, рассеивать				
冑		Łhuh	Attested in Shijing, but absent from Schüssler's dictionary.			dhìw	lhǝwh		3544					1079 i-l	dhǝ̀w	ḍǝ̀w	dhǝ̀w	zhòu	Łhus	130	1) шлем; 2) старший сын; старший				Łhǝwh
